id,name,group,created_at,updated_at,alt_names,company_count
127,Animation,"art, med",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Animation,""Animation and Post-production""}",32325
128,Commercial Real Estate,"cons, corp, fin",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Commercial Real Estate"",""Leasing Non-residential Real Estate""}",82918
129,Capital Markets,fin,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Capital Markets""}",37297
130,Think Tanks,"gov, org",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Think Tanks""}",30790
131,Philanthropy,org,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Philanthropy,""Philanthropic Fundraising Services""}",46128
132,E-Learning,"edu, org",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{E-learning,E-Learning,""E-Learning Providers""}",219707
133,Wholesale,good,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Wholesale},353036
136,Photography,"art, med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,{Photography},185910
137,Human Resources,corp,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Human Resources"",""Human Resources Services""}",275198
138,Business Supplies and Equipment,"corp, man",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Business Supplies and Equipment"",""Business Supplies & Equipment"",""Retail Office Equipment""}",229355
